name,category,ministry,state_coverage,benefits_summary,description
National Welfare Scheme 484 (MSME),MSME,"Ministry of Micro, Small and Medium Enterprises",Maharashtra,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 485 (Finance),Finance,"Ministry of Micro, Small and Medium Enterprises",Gujarat,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 486 (Agriculture),Agriculture,"Ministry of Micro, Small and Medium Enterprises",All India,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 487 (Education),Education,Ministry of Agriculture & Farmers Welfare,Karnataka,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 488 (Finance),Finance,Ministry of Health and Family Welfare,All India,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 489 (Finance),Finance,"Ministry of Micro, Small and Medium Enterprises",Uttar Pradesh,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 490 (MSME),MSME,Ministry of Finance,Uttar Pradesh,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 491 (Agriculture),Agriculture,"Ministry of Micro, Small and Medium Enterprises",Gujarat,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 492 (MSME),MSME,Ministry of Finance,Bihar,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 493 (Education),Education,"Ministry of Micro, Small and Medium Enterprises",Karnataka,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 494 (Finance),Finance,Ministry of Finance,Bihar,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 495 (Finance),Finance,Ministry of Education,Maharashtra,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 496 (Agriculture),Agriculture,Ministry of Agriculture & Farmers Welfare,All India,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 497 (Finance),Finance,Ministry of Education,Gujarat,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 498 (Finance),Finance,Ministry of Education,All India,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 499 (Agriculture),Agriculture,Ministry of Health and Family Welfare,Gujarat,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 500 (Finance),Finance,Ministry of Finance,All India,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
